Designator,Mid X,Mid Y,Layer,Rotation
C1,113.2875,-98.3,top,0.0
C2,123.2175,-119.85,top,0.0
C3,127.8825,-115.8,top,0.0
C4,133.83015,-113.41985,top,90.0
C5,143.13015,-116.21985,top,0.0
C6,143.91765,-113.76985,top,0.0
C7,127.64265,-125.26985,top,180.0
C8,127.61765,-123.16985,top,180.0
C9,130.22235,-134.99365,top,-90.0
C10,151.90765,-108.64985,top,0.0
C11,150.6125,-117.4,top,0.0
C13,143.8,-134.5,top,180.0
C14,143.0125,-132.25,top,180.0
C15,111.0263,-111.3638,top,0.0
C16,113.2875,-101.65,top,0.0
C18,108.4638,-101.1513,top,90.0
C19,123.2083,-97.612498,top,-90.0
C20,129.36875,-103.1125,top,-90.0
C21,125.9083,-103.212498,top,-90.0
C22,131.73015,-115.21985,top,90.0
C23,142.88015,-126.01985,top,0.0
D1,117.9,-122.45,top,90.0
D2,145.4103,-109.05,top,180.0
D3,132.61875,-103.1,top,-90.0
L1,116.9,-108.05,top,90.0
LS1,128.15,-152.805,top,0.0
R1,150.7,-112.66985,top,90.0
R2,151.9375,-119.7,top,0.0
R3,134.48015,-135.01985,top,90.0
R4,136.08015,-131.10735,top,90.0
R5,131.13015,-126.88235,top,90.0
R6,132.93015,-131.03235,top,90.0
R7,137.63015,-135.20735,top,-90.0
R8,139.28015,-131.20735,top,-90.0
R9,140.48015,-109.71985,top,-90.0
R10,145.06765,-119.11985,top,180.0
R11,138.03015,-112.11985,top,90.0
R12,134.85,-108.3,top,90.0
R13,153.8,-133.45,top,-90.0
R14,143.65,-128.7,top,0.0
R15,121.4583,-102.149998,top,0.0
S1,151.15,-125.95,top,-90.0
U1,136.63015,-121.31985,top,0.0
U2,125.37515,-132.04495,top,-90.0
U3,148.05,-136.45,top,180.0
U4,109.4138,-107.0638,top,-90.0
U5,127.35415,-98.549999,top,0.0
Y1,126.95,-118.6,top,180.0
